Ref,Val,Package,PosX,PosY,Rot,Side
"C1","cap_100nF_16v_0402","C_0402_1005Metric",105.507000,-113.227000,0.000000,top
"C2","cap_100nF_16v_0402","C_0402_1005Metric",113.447000,-115.062000,270.000000,top
"C3","cap_100nF_16v_0402","C_0402_1005Metric",110.856000,-122.625000,0.000000,top
"C4","cap_100nF_16v_0402","C_0402_1005Metric",104.093000,-120.808000,90.000000,top
"C5","cap_100nF_16v_0402","C_0402_1005Metric",107.046000,-144.925000,0.000000,top
"C6","cap_4.7uF_10v_0402","C_0402_1005Metric",113.462000,-111.951000,90.000000,top
"C7","cap_100nF_16v_0402","C_0402_1005Metric",112.922000,-123.150000,180.000000,top
"C8","cap_20pF_50v_0402","C_0402_1005Metric",106.983000,-122.614000,180.000000,top
"C9","cap_20pF_50v_0402","C_0402_1005Metric",108.953000,-122.625000,0.000000,top
"C10","cap_1uF_10v_0402","C_0402_1005Metric",109.151000,-109.254000,180.000000,top
"C11","cap_1uF_10v_0402","C_0402_1005Metric",102.868000,-111.368000,180.000000,top
"C12","cap_10uF_10v_0402","C_0402_1005Metric",113.358000,-99.597000,270.000000,top
"C13","cap_100nF_16v_0402","C_0402_1005Metric",106.792000,-132.790000,0.000000,top
"C14","cap_4.7uF_10v_0402","C_0402_1005Metric",113.446000,-116.937000,270.000000,top
"D1","PMEG2010AEB","D_SOD-523",108.905000,-111.002000,270.000000,top
"D2","1N4148","D_SOD-523",112.000000,-127.145000,180.000000,top
"D3","SMD-LED-WHITE_0402_","LED_0402",102.155000,-124.731000,90.000000,top
"D4","SMF5.0A","D_SOD-123FL",107.141000,-107.561000,180.000000,top
"D5","PMEG2010AEB","D_SOD-523",110.330000,-112.230000,90.000000,top
"F1","SMD-PPTC-500MA_0805_","F0805",110.313000,-105.413000,90.000000,top
"FB1","fb_0402_26ohm","R_0402_1005Metric",101.821000,-99.650000,270.000000,top
"J3","TYPE-C-31-M12_13","TYPE-C-31-M-12",105.860000,-99.220000,0.000000,top
"K1","SMD-SWITCH-TACTILE-SPST-NO_4P-3.0MMx2.6MM_","SW4-SMD-3.0X2.6X0.7MM",107.584000,-127.890000,0.000000,top
"Q1","MUN5311DW1T1G","SOT-363_SC-70-6_SC-88",112.352000,-125.040000,0.000000,top
"Q2","MUN5311DW1T1G","SOT-363_SC-70-6_SC-88",102.902000,-116.317000,0.000000,top
"R1","r_100k_0402_1p","R_0402_1005Metric",101.766000,-118.771000,270.000000,top
"R2","r_5.1k_0402_1p","R_0402_1005Metric",113.352000,-101.575000,270.000000,top
"R3","r_5.1k_0402_1p","R_0402_1005Metric",101.821000,-101.564000,90.000000,top
"R4","r_75_0402_1p","R_0402_1005Metric",103.111000,-124.731000,270.000000,top
"R5","r_4.7k_0402_1p","R_0402_1005Metric",111.989000,-111.450000,180.000000,top
"R6","r_10k_0402_1p","R_0402_1005Metric",111.992000,-112.408000,0.000000,top
"R7","r_75_0402_1p","R_0402_1005Metric",111.932000,-128.315000,0.000000,top
"R8","r_100k_0402_1p","R_0402_1005Metric",108.673000,-112.750000,0.000000,top
"R9","r_470_0402_1p","R_0402_1005Metric",113.454000,-121.208000,90.000000,top
"U1","AAP2967-33VIR1","SOT-23-5",112.032000,-109.155000,180.000000,top
"U2","SRV05-4","SOT-23-6",103.114000,-108.312000,270.000000,top
"U3","STM32F411CEU6","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias",108.722000,-117.890000,90.000000,top
"U4","SN74LV1T34DCKR","SOT-353_SC-70-5",106.569000,-110.174000,180.000000,top
"U5","SN74LV1T34DCKR","SOT-353_SC-70-5",102.909000,-113.275000,180.000000,top
"U6","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",107.620000,-141.560000,180.000000,top
"U7","MB85RS64PNF-G-JNERE1","SOP-8_3.9x4.9mm_P1.27mm",107.620000,-136.000000,0.000000,top
"Y1","SMD-CRYSTAL-8MHZ-20PF-10PPM_2P-5.0X3.2MM_","X2-SMD-5.0X3.2X1.3MM",107.509000,-124.880000,0.000000,top
